theta,flutter speed
-90,32.60932797
-89.99,32.609328
-89.98,32.60934347
-89.97,32.60934358
-89.96,32.60935915
-89.95,32.60935936
-89.94,32.60935962
-89.93,32.60937533
-89.92,32.60937568
-89.91,32.60939148
-89.9,32.60939193
-89.89,32.60940782
-89.88,32.60940836
-89.87,32.60940895
-89.86,32.60942499
-89.85,32.60942568
-89.84,32.60944181
-89.83,32.60944258
-89.82,32.60945881
-89.81,32.60945968
-89.8,32.6094606
-89.79,32.60947697
-89.78,32.60947798
-89.77,32.60949445
-89.76,32.60949555
-89.75,32.60951211
-89.74,32.60951331
-89.73,32.60951456
-89.72,32.60953126
-89.71,32.60953261
-89.7,32.6095494
-89.69,32.60955084
-89.68,32.60956772
-89.67,32.60956926
-89.66,32.60957084
-89.65,32.60958787
-89.64,32.60958954
-89.63,32.60960666
-89.62,32.60960843
-89.61,32.60962565
-89.6,32.60962751
-89.59,32.60962943
-89.58,32.60964678
-89.57,32.60964879
-89.56,32.60966624
-89.55,32.60966834
-89.54,32.60968589
-89.53,32.60968808
-89.52,32.60970572
-89.51,32.60970801
-89.5,32.60971035
-89.49,32.60972813
-89.48,32.60973056
-89.47,32.60974844
-89.46,32.60975097
-89.45,32.60976894
-89.44,32.60977156
-89.43,32.60977423
-89.42,32.60979234
-89.41,32.6097951
-89.4,32.60981331
-89.39,32.60981616
-89.38,32.60983447
-89.37,32.60983742
-89.36,32.60984041
-89.35,32.60985886
-89.34,32.60986195
-89.33,32.60988049
-89.32,32.60988367
-89.31,32.60990231
-89.3,32.60990559
-89.29,32.60992432
-89.28,32.60992769
-89.27,32.60993111
-89.26,32.60994998
-89.25,32.6099535
-89.24,32.60997246
-89.23,32.60997607
-89.22,32.60999513
-89.21,32.60999884
-89.2,32.61000259
-89.19,32.61002179
-89.18,32.61002564
-89.17,32.61004493
-89.16,32.61004887
-89.15,32.61006826
-89.14,32.6100723
-89.13,32.61009178
-89.12,32.61009591
-89.11,32.61010009
-89.1,32.61011972
-89.09,32.61012399
-89.08,32.61014371
-89.07,32.61014808
-89.06,32.61016789
-89.05,32.61017235
-89.04,32.61017686
-89.03,32.61019682
-89.02,32.61020142
-89.01,32.61022147
-89,32.61022617
-88.99,32.61024631
-88.98,32.6102511
-88.97,32.61027134
-88.96,32.61027623
-88.95,32.61028117
-88.94,32.61030155
-88.93,32.61030658
-88.92,32.61032705
-88.91,32.61033217
-88.9,32.61035274
-88.89,32.61035796
-88.88,32.61036323
-88.87,32.61038394
-88.86,32.6103893
-88.85,32.6104101
-88.84,32.61041556
-88.83,32.61043646
-88.82,32.61044201
-88.81,32.610463
-88.8,32.61046865
-88.79,32.61047434
-88.78,32.61049548
-88.77,32.61050126
-88.76,32.61052249
-88.75,32.61052837
-88.74,32.6105497
-88.73,32.61055567
-88.72,32.61057709
-88.71,32.61058316
-88.7,32.61058928
-88.69,32.61061084
-88.68,32.61061705
-88.67,32.61063871
-88.66,32.61064502
-88.65,32.61066677
-88.64,32.61067317
-88.63,32.61067962
-88.62,32.61070151
-88.61,32.61070805
-88.6,32.61073004
-88.59,32.61073668
-88.58,32.61075876
-88.57,32.61076549
-88.56,32.61078767
-88.55,32.6107945
-88.54,32.61080137
-88.53,32.61082369
-88.52,32.61083066
-88.51,32.61085307
-88.5,32.61086014
-88.49,32.61088265
-88.48,32.6108898
-88.47,32.61091241
-88.46,32.61091966
-88.45,32.61092696
-88.44,32.6109497
-88.43,32.6109571
-88.42,32.61097994
-88.41,32.61098743
-88.4,32.61101036
-88.39,32.61101795
-88.38,32.61104098
-88.37,32.61104865
-88.36,32.61105638
-88.35,32.61107955
-88.34,32.61108737
-88.33,32.61111064
-88.32,32.61111855
-88.31,32.61114191
-88.3,32.61114992
-88.29,32.61117338
-88.28,32.61118148
-88.27,32.61118964
-88.26,32.61121324
-88.25,32.61122148
-88.24,32.61124517
-88.23,32.61125352
-88.22,32.6112773
-88.21,32.61128574
-88.2,32.61130962
-88.19,32.61131815
-88.18,32.61132673
-88.17,32.61135076
-88.16,32.61135943
-88.15,32.61138355
-88.14,32.61139232
-88.13,32.61141653
-88.12,32.61142539
-88.11,32.6114497
-88.1,32.61145866
-88.09,32.61146767
-88.08,32.61149212
-88.07,32.61150122
-88.06,32.61152576
-88.05,32.61153496
-88.04,32.6115596
-88.03,32.61156889
-88.02,32.61159362
-88.01,32.61160301
-88,32.61161244
-87.99,32.61163732
-87.98,32.61164685
-87.97,32.61167182
-87.96,32.61168144
-87.95,32.61170651
-87.94,32.61171622
-87.93,32.61174139
-87.92,32.6117512
-87.91,32.61177646
-87.9,32.61178636
-87.89,32.61179632
-87.88,32.61182172
-87.87,32.61183176
-87.86,32.61185726
-87.85,32.6118674
-87.84,32.61189299
-87.83,32.61190323
-87.82,32.61192892
-87.81,32.61193925
-87.8,32.61194963
-87.79,32.61197546
-87.78,32.61198593
-87.77,32.61201186
-87.76,32.61202243
-87.75,32.61204845
-87.74,32.61205911
-87.73,32.61208522
-87.72,32.61209598
-87.71,32.61210679
-87.7,32.61213305
-87.69,32.61214395
-87.68,32.6121703
-87.67,32.6121813
-87.66,32.61220775
-87.65,32.61221884
-87.64,32.61224538
-87.63,32.61225657
-87.62,32.6122832
-87.61,32.61229449
-87.6,32.61230582
-87.59,32.61233259
-87.58,32.61234402
-87.57,32.61237089
-87.56,32.61238241
-87.55,32.61240938
-87.54,32.612421
-87.53,32.61244806
-87.52,32.61245977
-87.51,32.61247153
-87.5,32.61249874
-87.49,32.61251059
-87.48,32.61253789
-87.47,32.61254984
-87.46,32.61257724
-87.45,32.61258928
-87.44,32.61261677
-87.43,32.61262891
-87.42,32.6126565
-87.41,32.61266874
-87.4,32.61268102
-87.39,32.61270875
